Numbered   	Original
1.wav      	Tpt1__Tpt1_vib50__1.wav
2.wav      	Tpt1__Tpt4_vib30__1.wav
3.wav      	Tpt1__Tpt4_vib40__1.wav
4.wav      	Tpt1_vib10__Tpt3__0.wav
5.wav      	Tpt1_vib20__Tpt4__0.wav
6.wav      	Tpt1_vib40__Tpt1__0.wav
7.wav      	Tpt1_vib40__Tpt4__0.wav
8.wav      	Tpt1_vib50__Tpt3__0.wav
9.wav      	Tpt2__Tpt2_vib20__1.wav
10.wav      	Tpt2__Tpt3_vib20__1.wav
11.wav      	Tpt2__Tpt4_vib50__1.wav
12.wav      	Tpt2_vib10__Tpt3__0.wav
13.wav      	Tpt2_vib20__Tpt1__0.wav
14.wav      	Tpt2_vib30__Tpt3__0.wav
15.wav      	Tpt3_vib30__Tpt2__0.wav
16.wav      	Tpt4__Tpt2_vib10__1.wav
17.wav      	Tpt4__Tpt2_vib30__1.wav
18.wav      	Tpt4__Tpt3_vib10__1.wav
19.wav      	Tpt4__Tpt3_vib40__1.wav
20.wav      	Tpt4_vib50__Tpt3__0.wav
21.wav      	Vln1__Vln1_vib30__1.wav
22.wav      	Vln1__Vln3_vib50__1.wav
23.wav      	Vln1_vib10__Vln1__0.wav
24.wav      	Vln1_vib20__Vln4__0.wav
25.wav      	Vln2__Vln1_vib20__1.wav
26.wav      	Vln2_vib30__Vln4__0.wav
27.wav      	Vln2_vib40__Vln2__0.wav
28.wav      	Vln3__Vln3_vib30__1.wav
29.wav      	Vln3__Vln3_vib40__1.wav
30.wav      	Vln3__Vln4_vib50__1.wav
31.wav      	Vln3_vib10__Vln1__0.wav
32.wav      	Vln3_vib20__Vln2__0.wav
33.wav      	Vln3_vib30__Vln4__0.wav
34.wav      	Vln3_vib40__Vln3__0.wav
35.wav      	Vln3_vib50__Vln2__0.wav
36.wav      	Vln4__Vln1_vib10__1.wav
37.wav      	Vln4__Vln2_vib20__1.wav
38.wav      	Vln4__Vln3_vib10__1.wav
39.wav      	Vln4__Vln3_vib40__1.wav
40.wav      	Vln4_vib50__Vln2__0.wav
